gameid,gamename,nratings,gamerank
13,Catan,71279,251
822,Carcassonne,70895,130
30549,Pandemic,66881,64
36218,Dominion,58707,59
68448,7 Wonders,55341,37
9209,Ticket to Ride,50968,110
31260,Agricola,50229,15
3076,Puerto Rico,49692,12
40692,Small World,45543,162
2651,Power Grid,43799,23
70323,King of Tokyo,39195,196
478,Citadels,39132,296
129622,Love Letter,38391,179
14996,Ticket to Ride: Europe,37944,85
28143,Race for the Galaxy,35730,43
178900,Codenames,34348,36
39856,Dixit,33296,169
148228,Splendor,33168,99
34635,Stone Age,32116,72
110327,Lords of Waterdeep,31175,44
15987,Arkham Horror,31015,209
1927,Munchkin,30456,3121
11,Bohnanza,29468,351
65244,Forbidden Island,28690,545
12333,Twilight Struggle,28657,3
50,Lost Cities,27858,284
84876,The Castles of Burgundy,27173,10
41114,The Resistance,27103,147
37111,Battlestar Galactica,26374,54
120677,Terra Mystica,25928,7
98778,Hanabi,25740,247
150376,Dead of Winter: A Crossroads Game,25253,48
173346,7 Wonders Duel,24654,9
40834,Dominion: Intrigue,24025,51
463,Magic: The Gathering,23999,148
10547,Betrayal at House on the Hill,23782,375
181,Risk,22782,13303
131357,Coup,22694,334
18602,Caylus,22461,40
6249,Alhambra,22210,382
163412,Patchwork,21919,46
70919,Takenoko,21794,186
31481,Galaxy Trucker,21742,113
124742,Android: Netrunner,21275,33
72125,Eclipse,21231,24
171,Chess,21133,401
15062,Shadows over Camelot,21057,304
2655,Hive,21036,182
42,Tigris & Euphrates,20850,62
147020,Star Realms,20800,80
54043,Jaipur,20535,94
3955,BANG!,20488,977
161936,Pandemic Legacy: Season 1,20423,1
169786,Scythe,20379,8
1406,Monopoly,20315,14336
39463,Cosmic Encounter,20157,89
320,Scrabble,20121,1420
10630,Memoir '44,20073,107
121921,Robinson Crusoe: Adventures on the Cursed Island,19971,28
35677,Le Havre,19825,31
18,RoboRally,19809,312
133473,Sushi Go!,19724,313
96848,Mage Knight Board Game,19449,16
157354,Five Tribes,19282,47
8217,San Juan,19218,201
103343,A Game of Thrones: The Board Game (Second Edition),19193,75
126163,Tzolk'in: The Mayan Calendar,19142,32
93,El Grande,19020,50
102794,Caverna: The Cave Farmers,18401,11
146021,Eldritch Horror,17877,42
103885,Star Wars: X-Wing Miniatures Game,17825,52
9220,Saboteur,17514,805
2453,Blokus,17503,489
128882,The Resistance: Avalon,17374,73
157969,Sheriff of Nottingham,17179,203
122522,Smash Up,17127,578
143884,Machi Koro,16850,677
172,For Sale,16512,243
170216,Blood Rage,16362,17
16992,Tsuro,16298,740
100423,Elder Sign,16262,442
136063,Forbidden Desert,16161,234
132531,Roll for the Galaxy,16061,49
116,Guillotine,15916,968
12,Ra,15870,125
8203,"Hey, That's My Fish!",15830,627
123260,Suburbia,15805,82
12493,Twilight Imperium (Third Edition),15723,41
27162,Kingsburg,15721,245
25613,Through the Ages: A Story of Civilization,15699,18
5,Acquire,15643,185
104162,Descent: Journeys in the Dark (Second Edition),15637,67
77423,The Lord of the Rings: The Card Game,15598,95
21790,Thurn and Taxis,15473,326
50381,Cards Against Humanity,15322,1996
167791,Terraforming Mars,15281,6
12942,No Thanks!,15236,388
74,Apples to Apples,15016,2825
37046,Ghost Stories,14862,173
108745,Seasons,14782,137
100901,Flash Point: Fire Rescue,14669,238
155426,Castles of Mad King Ludwig,14629,68
104006,Village,14563,103
2653,Survive: Escape from Atlantis!,14533,204
181304,Mysterium,14520,132
5782,Coloretto,14256,459
54,Tikal,14217,195
107529,Kingdom Builder,13974,427
148949,Istanbul,13965,87
2223,UNO,13885,14227
129437,Legendary: A Marvel Deck Building Game,13660,108
153938,Camel Up,13604,358
154203,Imperial Settlers,13559,109
158899,Colt Express,13488,277
62219,Dominant Species,13463,45
24480,The Pillars of the Earth,13435,208
555,The Princes of Florence,13357,102
9674,Ingenious,13257,308
1294,Clue,13052,7373
37904,Formula D,12898,410
54998,Cyclades,12838,123
258,Fluxx,12831,5933
2471,Zombies!!!,12684,4058
9217,Saint Petersburg,12673,202
122515,Keyflower,12641,38
760,Battle Line,12623,161
432,6 nimmt!,12548,550
147949,One Night Ultimate Werewolf,12537,219
62871,Zombie Dice,12514,1624
146508,T.I.M.E Stories,12468,35
3,Samurai,12329,158
164153,Star Wars: Imperial Assault,12300,21
29368,Last Night on Earth: The Zombie Game,12286,495
38453,Space Alert,12252,127
21763,Mr. Jack,12209,387
113294,Escape: The Curse of the Temple,12155,376
823,Lord of the Rings,12147,656
73439,Troyes,12040,63
27588,Zooloretto,12008,571
118,Modern Art,11887,218
188,Go,11879,106
123540,Tokaido,11835,416
124361,Concordia,11800,29
77130,Sid Meier's Civilization: The Board Game,11799,151
113924,Zombicide,11784,287
143741,BANG! The Dice Game,11770,440
48726,Alien Frontiers,11748,136
166384,Spyfall,11692,328
91536,Quarriors!,11691,629
43111,Chaos in the Old World,11686,86
124708,Mice and Mystics,11631,171
102652,Sentinels of the Multiverse,11565,239
63888,Innovation,11364,261
278,Catan Card Game,11327,702
28023,Jamaica,11179,394
19857,Glory to Rome,11159,133
45315,Dungeon Lords,11041,159
28720,Brass: Lancashire,11017,30
25669,Qwirkle,11011,618
83330,Mansions of Madness,10950,228
161970,Alchemists,10942,74
215,Tichu,10873,105
43443,Castle Panic,10841,769
438,Scotland Yard,10818,1026
20551,Shogun,10816,112
34219,Biblios,10724,270
503,Through the Desert,10715,422
92828,Dixit Odyssey,10606,145
1917,Stratego,10567,2214
17226,Descent: Journeys in the Dark,10444,242
20100,Wits & Wagers,10410,484
102680,Trajan,10370,61
21241,Neuroshima Hex!,10322,184
171623,The Voyages of Marco Polo,10299,39
187645,Star Wars: Rebellion,10240,5
25554,Notre Dame,10216,187
176494,Isle of Skye: From Chieftain to King,10193,140
37380,Roll Through the Ages: The Bronze Age,10190,536
483,Diplomacy,10138,471
127023,Kemet,10124,69
71721,Space Hulk: Death Angel – The Card Game,10080,502
133038,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,10074,250
12692,Gloom,10071,1365
25292,Merchants & Marauders,10065,176
164928,Orléans,10058,25
2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,9964,58
43570,Friday,9962,286
27627,Talisman (Revised 4th Edition),9859,1095
45,Liar's Dice,9823,534
9216,Goa,9815,92
4390,Carcassonne: Hunters and Gatherers,9760,370
144733,Russian Railroads,9683,60
59959,Letters from Whitechapel,9625,164
17133,Railways of the World,9621,84
119890,Agricola: All Creatures Big and Small,9562,157
41,Can't Stop,9497,589
125618,Libertalia,9463,275
6472,A Game of Thrones (first edition),9452,290
160499,King of New York,9334,360
140620,Lewis & Clark,9280,116
66188,Fresco,9227,226
69789,Ascension: Deckbuilding Game,9218,470
2397,Backgammon,9212,1051
97207,Dungeon Petz,9159,121
53953,Thunderstone,9141,488
34119,Tales of the Arabian Nights,9104,289
9609,War of the Ring (first edition),9033,71
22545,Age of Empires III: The Age of Discovery,9021,120
98,Axis & Allies,8973,1161
147151,Concept,8946,516
182028,Through the Ages: A New Story of Civilization,8942,2
93260,Summoner Wars: Master Set,8939,117
19237,Ca$h 'n Gun$,8896,830
43015,Hansa Teutonica,8840,98
25417,BattleLore,8714,222
126042,Nations,8659,81
127398,Legends of Andor,8647,264
31594,In the Year of the Dragon,8577,194
699,HeroQuest,8553,541
42215,Tobago,8551,374
2243,Yahtzee,8543,14244
205059,Mansions of Madness: Second Edition,8527,20
193738,Great Western Trail,8520,14
811,Rummikub,8505,1501
131835,Boss Monster: The Dungeon Building Card Game,8501,1464
90137,Blood Bowl: Team Manager – The Card Game,8434,213
31627,Ticket to Ride: Nordic Countries,8381,104
37759,Diamant,8353,604
20963,Fury of Dracula (second edition),8316,361
8098,Jungle Speed,8278,1005
27833,Steam,8233,93
1198,SET,8226,1164
33160,Endeavor,8158,178
521,Crokinole,8067,66
155362,Ca$h 'n Guns (Second Edition),7953,454
155703,Evolution,7928,300
21348,Ticket to Ride: Märklin,7869,207
30869,Thebes,7863,352
2452,Jenga,7851,10700
70149,Ora et Labora,7810,78
150,PitchCar,7800,307
172225,Exploding Kittens,7742,3986
15363,Nexus Ops,7741,310
68425,Eminent Domain,7694,391
1111,Taboo,7677,1589
205637,Arkham Horror: The Card Game,7676,19
136888,Bruges,7529,172
2921,The Game of Life,7521,14338
46213,Telestrations,7470,199
183394,Viticulture Essential Edition,7460,27
138161,Firefly: The Game,7448,258
97786,Small World Underground,7445,249
39683,At the Gates of Loyang,7438,216
13823,Fairy Tale,7401,704
12002,Jambo,7398,458
5404,Amun-Re,7379,236
25821,The Werewolves of Miller's Hollow,7368,674
66362,Glen More,7357,233
24181,Imperial,7317,124
163967,Tiny Epic Galaxies,7286,221
2987,Pirate's Cove,7260,976
1115,Poker,7221,837
27708,1960: The Making of the President,7220,142
91312,Discworld: Ankh-Morpork,7217,392
27746,Colosseum,7198,339
21523,Runebound (Second Edition),7190,650
173,Formula Dé,7166,542
88,Torres,7164,384
161417,Red7,7164,507
1219,Labyrinth,7163,1394
63628,The Manhattan Project,7149,181
59946,Dungeons & Dragons: Castle Ravenloft Board Game,7131,573
146652,Legendary Encounters: An Alien Deck Building Game,7119,77
22345,Yspahan,7107,409
30380,Cuba,7092,381
97842,Last Will,7092,301
11170,Heroscape Master Set: Rise of the Valkyrie,7050,244
27173,Vikings,6971,291
14105,Commands & Colors: Ancients,6970,83
115746,War of the Ring (Second Edition),6965,13
198773,Codenames: Pictures,6945,167
36946,Red November,6943,1380
891,Cranium,6939,5627
915,Mystery of the Abbey,6912,1036
10,Elfenland,6892,748
2842,TransAmerica,6871,861
4098,Age of Steam,6864,97
127060,Bora Bora,6843,131
21882,Blue Moon City,6817,468
201808,Clank!: A Deck-Building Adventure,6813,55
327,Loopin' Louie,6802,616
13308,Niagara,6771,1044
15818,Pickomino,6749,1041
73761,K2,6746,425
209010,Mechs vs. Minions,6739,22
171668,The Grizzled,6722,278
826,Cartagena,6670,803
194655,Santorini,6666,65
172818,Above and Below,6657,129
59294,Runewars,6656,128
140,Pit,6637,1307
128621,Viticulture,6619,101
150312,Welcome to the Dungeon,6604,751
63268,Spot it!,6554,807
118048,Targi,6541,134
7717,Carcassonne: The Castle,6530,467
139030,Mascarade,6522,833
24068,Shadow Hunters,6519,684
112,Condottiere,6514,765
51,Ricochet Robots,6509,540
1234,Once Upon a Time: The Storytelling Card Game,6471,1210
79828,A Few Acres of Snow,6395,211
66589,Navegador,6394,144
105,Colossal Arena,6389,714
204583,Kingdomino,6389,205
7805,Fearsome Floors,6328,884
394,Kahuna,6322,886
2398,Cribbage,6320,543
475,Taj Mahal,6310,282
143693,Glass Road,6308,192
71,Civilization,6285,197
150658,Pandemic: The Cure,6264,237
24508,Taluva,6249,397
101721,Mage Wars Arena,6230,111
2952,Trivial Pursuit,6227,14269
2381,Scattergories,6219,2073
92415,Skull,6217,463
13004,The Downfall of Pompeii,6185,424
22827,StarCraft: The Board Game,6173,318
133848,Euphoria: Build a Better Dystopia,6168,292
121408,Trains,6162,333
156009,Port Royal,6154,411
31730,Chicago Express,6131,340
2425,Battleship,6127,14327
176396,Quadropolis,6113,220
47,Chinatown,6098,345
138788,Dungeon Roll,6008,1868
54625,Space Hulk (third edition),5999,193
97903,Terror in Meeple City,5998,581
137297,Rise of Augustus,5994,733
8051,Attika,5985,522
176189,Zombicide: Black Plague,5965,100
171131,Captain Sonar,5962,91
3201,Lord of the Rings: The Confrontation,5948,380
55670,Macao,5940,215
590,Mille Bornes,5922,6185
175914,Food Chain Magnate,5922,26
46,Medici,5914,421
1829,Risk 2210 A.D.,5907,983
39938,Carson City,5869,303
192291,Sushi Go Party!,5864,139
156129,Deception: Murder in Hong Kong,5860,175
155987,Abyss,5845,305
40398,Monopoly Deal Card Game,5830,1764
105134,Risk Legacy,5808,198
36932,Claustrophobia,5799,163
172386,Mombasa,5792,57
40628,Finca,5716,501
155068,Arcadia Quest,5696,76
22141,Cleopatra and the Society of Architects,5666,722
1465,Wizard,5649,659
16986,Ubongo,5647,783
90419,Airlines Europe,5629,276
929,The Great Dalmuti,5619,1106
7854,YINSH,5617,126
168435,Between Two Cities,5612,462
27225,Bananagrams,5590,1472
65781,London,5588,235
163968,Elysium,5557,293
15364,Vegas Showdown,5538,378
177736,A Feast for Odin,5522,34
181279,Fury of Dracula (third edition),5512,146
1345,Genoa,5498,457
2083,Checkers,5488,14314
1293,Boggle,5481,1887
105551,Archipelago,5474,256
163602,XCOM: The Board Game,5467,445
85256,Timeline: Inventions,5461,820
257,Kill Doctor Lucky,5452,1984
72287,Mr. Jack Pocket,5450,564
117959,Las Vegas,5443,496
2281,Pictionary,5442,3711
131366,Eight-Minute Empire,5436,919
2389,Othello,5386,2289
110277,Among the Stars,5359,386
40793,Dice Town,5357,698
39953,A Game of Thrones: The Card Game,5351,638
10093,Axis & Allies,5335,979
44163,Power Grid: Factory Manager,5332,632
15512,Diamant,5307,806
141572,Paperback,5303,279
134726,Smash Up: Awesome Level 9000,5295,327
12995,Dungeon Twister,5294,724
146886,La Granja,5280,96
1258,Phase 10,5278,14292
160851,Lanterns: The Harvest Festival,5266,560
58281,Summoner Wars,5222,329
24310,The Red Dragon Inn,5207,1118
5716,Balloon Cup,5190,858
2093,Mahjong,5143,584
29387,Zombie Fluxx,5143,2549
188834,Secret Hitler,5117,217
47185,Warhammer: Invasion,5104,413
96913,Lancaster,5102,225
50750,Belfort,5095,324
128671,Spartacus: A Game of Blood & Treachery,5072,262
9446,Blue Moon,5067,819
13642,Louis XIV,5026,487
148951,Tiny Epic Kingdoms,5022,912
191862,Imhotep,5015,332
38054,Snow Tails,5002,566
162082,Deus,4982,285
144344,Rococo,4970,183
176920,Mission: Red Planet (Second Edition),4939,170
49,Mamma Mia!,4935,1196
770,Loot,4932,1556
2719,Connect Four,4920,14316
42452,Rattus,4902,723
148575,Marvel Dice Masters: Avengers vs. X-Men,4870,362
3699,Killer Bunnies and the Quest for the Magic Carrot,4858,14066
137269,Spyrium,4823,451
39351,Automobile,4809,294
2375,Sequence,4806,3073
122298,Morels,4804,539
131260,Qwixx,4798,661
17329,Animal Upon Animal,4789,690
182874,Grand Austria Hotel,4787,118
526,Abalone,4776,1344
174430,Gloomhaven,4768,4
559,Metro,4735,1411
160477,Onitama,4721,189
30539,Get Bit!,4717,1798
554,La Città,4711,511
